task_id,problem,handoff,corruption_type,label
task_001,Write a function that returns the sum of all even numbers in a list of integers.,"### HANDOFF MESSAGE FOR AGENT B

**Task Overview:**
Implement a Python function that takes a list of integers as input and returns the sum of all the even numbers in the list.

**Function Signature:**
```python
def sum_even_numbers(numbers: list[int]) -> int:
```

**Implementation Plan:**
1. Initialize a variable (e.g., `even_sum`) to `0` to store the running total.
2. Iterate through each integer in the input list `numbers`.
3. Check if the integer is even using the modulo operator (`num % 2 == 0`).
4. If it is even, add it to `even_sum`.
5. Return `even_sum` after checking all elements (a one-liner generator expression using `sum()` is also acceptable).

**Key Edge Cases to Handle:**
- **Empty List:** An empty input list `[]` should return `0`.
- **No Even Numbers:** A list with only odd numbers (e.g., `[1, 3, 5]`) should return `0`.
- **Negative Even Numbers:** Ensure negative even numbers are correctly identified and added (e.g., `[-2, -4, 3]` should return `-6`).
- **Zeros:** The number `0` is even (`0 % 2 == 0`) and should be included properly without causing issues.",none,1
task_002,"Write a function that checks if a given string is a palindrome, ignoring case and spaces.","**HANDOFF MESSAGE FOR AGENT B**

### Task Overview
Build a function that determines whether a given input string is a palindrome. The palindrome check must be case-insensitive and must ignore all space characters (`' '`).

### Function Signature
```python
def is_palindrome(s: str) -> bool:
```

### Requirements & Behavior
- Ignore letter casing (e.g., `'A'` and `'a'` are considered equal).
- Ignore all space characters (e.g., `' '`). Note: Focus specifically on spaces; other punctuation should be handled as normal characters unless standard string preprocessing applies (assume only spaces need removal based on prompt).
- Return `True` if the processed string reads the same forwards and backwards, and `False` otherwise.

### Key Edge Cases to Handle
1. **Empty string (`""""`)**: Should return `True`.
2. **Space-only strings (`""   ""`)**: Should return `True` (becomes empty after removing spaces).
3. **Single character strings (e.g., `""a""`, `"" ""`):** Should return `True`.
4. **Mixed-case palindromes (e.g., `""Racecar""`)**: Should return `True`.
5. **Multi-word palindromes with spaces (e.g., `""Never odd or even""`)**: Should return `True`.
6. **Even vs. Odd length cleaned strings**: Ensure middle character handling works correctly for both.

### Suggested Approach
1. Lowercase the input string `s`.
2. Remove all spaces from `s` (e.g., using `s.replace("" "", """")` or a list comprehension/filter).
3. Check if the resulting cleaned string is equal to its reverse (e.g., `cleaned_s == cleaned_s[::-1]`) or use a two-pointer technique.
4. Return the boolean result.",none,1
task_002,"Write a function that checks if a given string is a palindrome, ignoring case and spaces.","**HANDOFF MESSAGE FOR AGENT B**

### Task Overview
Build a function that determines whether a given input string is a palindrome.",over_summarization,0
task_003,Write a function that returns the second-largest unique number in a list of integers. Return None if there isn't one.,"HANDOFF MESSAGE FOR AGENT B:

You need to write a Python function that finds and returns the second-largest unique number from a list of integers. If a second-largest unique number does not exist, the function should return `חת` (`None`).

### Function Signature:
```python
def second_largest_unique(nums: list[int]) -> int | None:
```

### Key Edge Cases to Handle:
1. **Lists with fewer than 2 unique numbers:** (e.g., `[]`, `[5]`, `[3, 3, 3]`). Return `None` because there is no distinct second-largest value.
2. **Negative numbers:** Ensure logic correctly handles negative integers (e.g., `[-5, -1, -3]` -> second largest unique is `-3`).
3. **Duplicates:** The list may contain many repeating numbers, but we only care about the unique values (e.g., `[10, 10, 9, 9, 8]` -> unique values are `10, 9, 8`, so the second largest unique is `9`).

### Plan / Approach:
1. Convert the input list to a `set` to automatically remove all duplicates.
2. If the size of the set is less than 2, return `None`.
3. Sort the unique values in descending order (or convert to a list, sort, and index).
4. Return the element at index 1 of the sorted unique values.",none,1
task_003,Write a function that returns the second-largest unique number in a list of integers. Return None if there isn't one.,"HANDOFF MESSAGE FOR AGENT B:

You need to write a Python function that finds and returns the second-largest unique number from a list of integers. If a second-largest unique number does not exist, the function should return `חת` (`None`). ### Function Signature:
```python
def second_largest_unique(nums: list[int]) -> int | None:
```

### Key Edge Cases to Handle:
1. **Lists with fewer than 2 unique numbers:** (e.g., `[]`, `[5]`, `[3, 3, 3]`). Return `None` because there is no distinct second-largest value. 2. **Negative numbers:** Ensure logic correctly handles negative integers (e.g., `[-5, -1, -3]` -> second largest unique is `-3`). 3.",truncation,0
task_003,Write a function that returns the second-largest unique number in a list of integers. Return None if there isn't one.,"HANDOFF MESSAGE FOR AGENT B:

You need to write a Python function that finds and returns the second-largest unique number from a list of integers. If a second-largest unique number does not exist, the function should return `חת` (`None`).

### Function Signature:
```python
def second_largest_unique(nums: list[int]) -> int | None:
```

### Key Edge Cases to Handle:

### Plan / Approach:",tool_result_drop,0
task_005,Write a function that flattens a nested list of arbitrary depth into a single flat list.,"HANDOFF MESSAGE FOR AGENT B:

You need to write a Python function that flattens a nested list of arbitrary depth into a single, one-dimensional flat list.

**Function Signature:**
```python
def flatten_list(nested_list: list) -> list:
```

**Key Edge Cases to Handle:**
1. **Already flat lists:** Should return an equivalent flat list without modification.
2. **Deeply nested lists:** Must handle arbitrary depth (e.g., `[1, [2, [3, [4]]]]`).
3. **Empty lists and nested empty lists:** Should correctly omit empty lists and return `[]` for an entirely empty input (e.g., `[]` or `[[], [[]]]` -> `[]`).
4. **Mixed types:** The list may contain various data types (integers, strings, floats, etc.); preserve these elements in their correct relative order while flattening only the list structures.
5. **Non-list elements at the root or nested levels:** Ensure the logic safely checks for list instances before attempting recursion or iteration.

**Approach / Plan:**
- Implement the function recursively or iteratively (recursion using a helper or generator is typically cleanest).
- Iterate through each element of the input list.
- Check if the element is an instance of `list`.
- If it is a list, recursively call the flattening function on it and extend the result.
- If it is not a list, append/add it directly to the result list.
- Return the final flattened list.",none,1
task_005,Write a function that flattens a nested list of arbitrary depth into a single flat list.,"HANDOFF MESSAGE FOR AGENT B:

You need to write a Python function that flattens a nested list of arbitrary depth into a single, one-dimensional flat list.

**Function Signature:**
```python
def flatten_list(nested_list: list) -> list:
```

**Key Edge Cases to Handle:**

**Approach / Plan:**",tool_result_drop,0
task_006,"Write a function that returns True if a given integer is prime, False otherwise.","**HANDOFF MESSAGE FOR AGENT B**

**Objective:**
Write a Python function that determines whether a given integer is a prime number. It should return `True` if the number is prime, and `False` otherwise.

**Function Signature:**
```python
def is_prime(n: int) -> bool:
```

**Key Edge Cases to Handle:**
1. Numbers less than or equal to 1 (e.g., `0`, `1`, and negative numbers like `-5`) are not prime and must return `False`.
2. `2` is the smallest and only even prime number; it should return `True`.
3. Other even numbers greater than `2` (e.g., `4`, `6`, `10`) are not prime and must return `False`.
4. Large integers should be handled efficiently without exceeding time limits.

**Plan/Approach:**
1. Check if `n <= 1`. If so, return `False`.
2. Check if `n == 2` or `n == 3`. If so, return `True`.
3. Check if `n % 2 == 0` or `n % 3 == 0`. If so, return `False`.
4. Loop through potential divisors starting from `5` up to the square root of `n` (`int(n**0.5)`) with a step of `6` (checking numbers of the form $6k \pm 1$). 
5. If `n` is divisible by any of these numbers, return `False`. Otherwise, return `True`.",none,1
task_007,Write a function that merges two sorted lists of integers into one sorted list.,"HANDOFF MESSAGE FOR AGENT B:

Your task is to implement a Python function that merges two already-sorted lists of integers into a single, continuously sorted list.

**Function Signature:**
```python
def merge_sorted_lists(list1: list[int], list2: list[int]) -> list[int]:
```

**Key Edge Cases to Handle:**
1. One or both input lists are empty.
2. Lists of unequal lengths.
3. Lists containing negative numbers and/or duplicate values.
4. Inputs where all elements of one list are smaller than all elements of the other.

**Approach/Plan:**
- Use a two-pointer approach, maintaining an index for each list (`i` for `list1`, `j` for `list2`).
- Compare elements at the current pointers and append the smaller value to a new result list, then increment the corresponding pointer.
- Once one list is fully exhausted, append all remaining elements from the other list to the result.
- Ensure the time complexity is $O(n + m)$ where $n$ and $m$ are the lengths of the two lists.",none,1
