task_id,problem,handoff,corruption_type,label
task_002,"Write a function that checks if a given string is a palindrome, ignoring case and spaces.","HANDOFF MESSAGE FOR AGENT B:

Please implement a Python function that determines whether a given string is a palindrome, ignoring both case sensitivity and spaces.

**Function Signature:**
```python
def is_palindrome(s: str) -> bool:
```

**Requirements & Approach:**
1. **Normalization:** Remove all spaces from the input string and convert all characters to lowercase (or uppercase) to ensure case-insensitivity.
2. **Comparison:** Check if the normalized string reads the same forwards and backwards.
3. **Return Value:** Return `True` if it is a palindrome, and `False` otherwise.

**Edge Cases to Handle:**
- Empty strings `""""` (should return `True`).
- Strings with only spaces `""   ""` (should return `True`).
- Strings with mixed casing and punctuation/symbols (Note: the prompt specifies ignoring case and spaces; standard alphanumeric checks might be needed depending on strictness, but primarily focus on stripping spaces and normalizing case).
- Single-character strings (should return `True`).",none,1
task_005,Write a function that flattens a nested list of arbitrary depth into a single flat list.,"**HANDOFF MESSAGE FOR AGENT B**

**Objective:**
Write a Python function that flattens a nested list of arbitrary depth into a single, one-dimensional flat list.

**Function Signature:**
```python
def flatten_list(nested_list: list) -> list:
```

**Key Edge Cases to Handle:**
1. **Already flat lists:** Should return an identical copy of the list.
2. **Deeply nested lists:** Must handle arbitrary depth without hitting recursion limits (or use a robust recursive/iterative approach).
3. **Empty lists:** An empty list `[]` or nested empty lists `[[], [[]]]` should return `[]`.
4. **Mixed data types:** The list may contain a mix of integers, strings, objects, and nested lists. Only nested lists should be flattened; other elements should be preserved in their relative order.
5. **Non-list iterables (if applicable):** Ensure only `list` instances are treated as nestable (or clarify if tuples/sets need flattening—assume standard lists unless specified).

**Recommended Approach:**
- Use a recursive approach that iterates through the input list. 
- For each element, check if it is an instance of `list`. 
- If it is a list, recursively call `flatten_list` on it and extend the result. 
- If it is not a list, append it directly to the result list. 
- Alternatively, an iterative approach using a stack can be used to avoid recursion depth issues with extremely deep nestings.",none,1
task_006,"Write a function that returns True if a given integer is prime, False otherwise.","Task: Implement a function to determine whether a given integer is a prime number.

Function Signature:
`def is_prime(n: int) -> bool:`

Requirements & Edge Cases:
- Return `True` if `n` is prime, and `False` otherwise.
- Numbers less than or equal to 1 (`n <= 1`) are not prime and should return `False`.
- 2 is the only even prime number; it should return `True`.
- All other even numbers greater than 2 are not prime and should return `False`.

Proposed Approach:
1. Check if `n <= 1`. If so, return `False`.
2. Check if `n <= 3`. If so, return `True` (covers 2 and 3).
3. Check if `n % 2 == 0` or `n % 3 == 0`. If so, return `False`.
4. Loop from $i = 5$ up to $\lfloor\sqrt{n}\rfloor$ with a step of 6 (checking $i$ and $i + 2$), as all primes greater than 3 are of the form $6k \pm 1$. If $n$ is divisible by any $i$, return `False`.
5. If no divisors are found, return `True`.",none,1
task_007,Write a function that merges two sorted lists of integers into one sorted list.,"**HANDOFF MESSAGE FOR AGENT B**

**Objective:**
Write a Python function that merges two sorted lists of integers into a single sorted list.

**Function Signature:**
```python
def merge_sorted_lists(list1: list[int], list2: list[int]) -> list[int]:
```

**Key Edge Cases to Handle:**
1. One or both input lists are empty.
2. Lists of unequal lengths.
3. Lists containing negative numbers and duplicates.
4. Inputs that are already fully sorted relative to each other (e.g., all elements in `list1` are smaller than all elements in `list2`).

**Proposed Approach:**
- Use a two-pointer approach to iterate through both lists simultaneously, comparing elements and appending the smaller one to a new result list.
- Once one list is exhausted, append the remaining elements of the other list to the result.
- Ensure the time complexity is $O(n + m)$ and space complexity is $O(n + m)$ (where $n$ and $m$ are the lengths of the two lists).",none,1
task_009,Write a function that returns the longest common prefix among a list of strings. Return empty string if none.,"Agent B, your task is to implement a Python function that finds the longest common prefix among a list of strings.

Here are the requirements:

1. **Function Signature:**
   `def longest_common_prefix(strs: list[str]) -> str:`

2. **Behavior:**
   - Given a list of strings, return the longest common prefix string that is shared among all the strings in the list.
   - If there is no common prefix, or if the input list is empty, return an empty string `""""`.

3. **Key Edge Cases to Handle:**
   - An empty input list (`[]`) should return `""""`.
   - A list containing a single string `[""hello""]` should return `""hello""`.
   - A list containing an empty string `["""", ""b""]` should return `""""`.
   - Strings with no common characters `[""dog"", ""racecar"", ""car""]` should return `""""`.
   - All identical strings `[""test"", ""test"", ""test""]` should return `""test""`.

4. **Recommended Approach (Vertical Scanning):**
   - Handle the base case where the input list is empty.
   - Iterate through the characters of the first string in the list index by index.
   - For each character at index `i`, check if all other strings in the list have that exact character at index `i`. Also, ensure `i` does not exceed the length of any other string.
   - As soon as a mismatch or end-of-string is encountered, return the substring of the first string from index `0` up to `i`.
   - If the loop completes without mismatches, return the entire first string.",none,1
task_010,"Write a function that returns True if a binary tree (given as nested tuples (value, left, right) or None) is height-balanced.","Agent B, here is your handoff message for the task:

**Objective:**
Write a Python function that determines whether a given binary tree is height-balanced. A binary tree is height-balanced if the left and right subtrees of every node differ in height by no more than 1, and both subtrees are also height-balanced.

**Input representation:**
The binary tree is represented either as `None` (for an empty tree) or as a nested tuple of the format `(value, left, right)`, where `left` and `right` are themselves binary trees (tuples or `None`).

**Function Signature:**
```python
def is_balanced(root) -> bool:
```

**Key Edge Cases to Handle:**
1. An empty tree (`root` is `None`) should return `True`.
2. A single-node tree with no children (`(val, None, None)`) should return `True`.
3. Unbalanced trees at various depths (e.g., a linear chain of nodes) should correctly return `False`.

**Plan / Approach:**
- Write a helper function (or use recursion in the main function) that computes the height of a subtree while simultaneously checking if it is balanced.
- For any given node, recursively calculate the height of its left and right subtrees.
- If at any point a subtree is found to be unbalanced (e.g., height difference > 1, or a child subtree returned an imbalance signal), propagate the `False` status up.
- A common pattern is to have the helper function return a tuple: `(is_balanced: bool, height: int)`. For `None`, return `(True, -1)` or `(True, 0)` depending on how height is defined (typically, empty tree has height 0 or -1). 
- Compare heights: `abs(left_height - right_height) <= 1`.",none,1
task_010,"Write a function that returns True if a binary tree (given as nested tuples (value, left, right) or None) is height-balanced.","Agent B, here is your handoff message for the task:

**Objective:**
Write a Python function that determines whether a given binary tree is height-balanced. A binary tree is height-balanced if the left and right subtrees of every node differ in height by no more than 1, and both subtrees are also height-balanced.

**Input representation:**
The binary tree is represented either as  (for an empty tree) or as a nested tuple of the format , where  and  are themselves binary trees (tuples or ).

**Function Signature:**


**Key Edge Cases to Handle:**

**Plan / Approach:**",tool_result_drop,0
task_011,"Write a function that returns the number of vowels (a, e, i, o, u, case-insensitive) in a string.","**HANDOFF MESSAGE FOR AGENT B**

**Objective:**
Write a function that counts the total number of vowels ('a', 'e', 'i', 'o', 'u') in a given string. The count must be case-insensitive (e.g., 'A' and 'a' both count as vowels).

**Function Signature:**
```python
def count_vowels(s: str) -> int:
    pass
```

**Key Edge Cases to Handle:**
- Empty strings (`""""`): should return `0`.
- Strings with no vowels (e.g., `""rhythm""`): should return `0`.
- Mixed-case strings (e.g., `""AeIoU""`): should correctly count uppercase vowels.
- Strings containing numbers, punctuation, or spaces (e.g., `""Hello, World!""`): should only count the vowels and ignore all other characters.

**Plan / Approach:**
1. Define a set or tuple of target vowels: `vowels = {'a', 'e', 'i', 'o', 'u'}`.
2. Convert the input string `s` to lowercase to ensure case-insensitivity.
3. Iterate through each character in the lowercased string, checking if it exists in the set of vowels.
4. Keep a running count of matches and return the final integer count.",none,1
task_015,Write a function that takes a dictionary and returns a new dictionary with keys and values swapped. Assume all values are unique and hashable.,"Handoff Message for Agent B:

Please write a Python function that takes a dictionary as input and returns a new dictionary where the original keys and values are swapped (i.e., original values become keys, and original keys become values).

**Function Signature:**
`def swap_dict(d: dict) -> dict:`

**Assumptions / Edge Cases to Handle:**
- Assume all values in the input dictionary are unique and hashable (so they can safely act as keys in the new dictionary).
- Handle an empty dictionary correctly by returning an empty dictionary.
- Do not mutate the original dictionary; return a new one.

**Approach:**
Iterate through the key-value pairs of the input dictionary using `.items()` and construct the new dictionary by assigning each value as the key and each key as the value (e.g., using a dictionary comprehension: `{v: k for k, v in d.items()}`).",none,1
task_017,Write a function that checks if a given integer is a perfect square.,"HANDOFF MESSAGE FOR AGENT B:

You need to write a Python function that determines whether a given integer is a perfect square. 

**Function Signature:**
```python
def is_perfect_square(n: int) -> bool:
```

**Requirements & Edge Cases to Handle:**
1. **Negative Numbers:** Integers less than 0 cannot be perfect squares (return `False`).
2. **Zero:** `0` is a perfect square ($0 \times 0 = 0$), so return `True`.
3. **Small Positive Numbers:** Numbers like `1` should return `True`.
4. **Large Integers:** The solution should be efficient enough to handle large inputs without running into performance or precision issues.

**Suggested Approach:**
- First, check if `n < 0`. If so, return `False`.
- For `n >= 0`, you can compute the integer square root. A reliable way to do this in Python is using integer binary search or computing `int(n**0.5)` and verifying if the square of that integer equals `n`. 
- Specifically, let `root = int(isqrt(n))` (or `int(n**0.5)`), and check if `root * root == n`.",none,1
