task_id,source,entry_point,corruption_type,is_corrupted,stage1_score,stage1_blocked,judge_escalated,judge_verdict,gate_stage,gate_decision,action,ungated_passed,gated_passed,ungated_error,gated_error
he_078,humaneval,hex_key,clean,False,0.287,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
he_118,humaneval,get_closest_vowel,clean,False,0.838,False,True,1.0,2,PASS,handoff_code,True,True,False,False
he_131,humaneval,digits,clean,False,0.785,False,True,1.0,2,PASS,handoff_code,True,True,False,False
he_135,humaneval,can_arrange,clean,False,0.77,False,True,1.0,2,PASS,handoff_code,True,True,False,False
he_147,humaneval,get_max_triples,clean,False,0.294,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
he_157,humaneval,right_angle_triangle,clean,False,0.777,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_018,mbpp,str_to_list,clean,False,0.452,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_059,mbpp,is_octagonal,clean,False,0.545,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_092,mbpp,is_undulating,clean,False,0.736,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_130,mbpp,max_occurrences,clean,False,0.559,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_109,mbpp,odd_Equivalent,clean,False,0.5272,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_120,mbpp,max_product_tuple,clean,False,0.4921,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_168,mbpp,frequency,clean,False,0.4457,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
mbpp_235,mbpp,even_bit_set_number,clean,False,0.5551,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_242,mbpp,count_charac,clean,False,0.7759,False,True,1.0,2,PASS,handoff_code,True,True,False,False
he_102,humaneval,choose_num,truncation,True,0.0,True,False,,1,BLOCK,fallback_raw_stage1,False,False,False,False
he_127,humaneval,intersection,over_summarization,True,0.0618,True,False,,1,BLOCK,fallback_raw_stage1,False,True,False,False
he_133,humaneval,sum_squares,invert_objective,True,0.4593,False,True,0.0,2,BLOCK,fallback_raw_stage2,False,True,False,False
mbpp_079,mbpp,word_len,fake_completion,True,0.7844,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_093,mbpp,power,truncation,True,0.0133,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
he_163,humaneval,generate_integers,over_summarization,True,0.1947,True,False,,1,BLOCK,fallback_raw_stage1,False,False,False,False
