task_id,problem,handoff,corruption_type,label,label_source,source,cosine_similarity,entity_overlap,length_ratio,sentence_count_ratio,section_coverage,verbatim_copy_rate,trailing_specificity,constraint_count,role_pronoun_rate,novel_api_rate,function_name_preserved,signature_param_diff,nli_contradiction_max,nli_entailment_mean,stage1_score,cascade_prediction,escalated_to_stage2
task_006,"Write a function that returns True if a given integer is prime, False otherwise.","Handoff Message for Agent B:

You need to write a Python function that determines whether a given integer is a prime number. 

**Function Signature:**
```python
def is_prime(n: int) -> bool:
```

**Requirements & Edge Cases to Handle:**
- Numbers less than or equal to 1 are not prime (return `False`).
- 2 is the only even prime number (return `True`).
- All other even numbers greater than 2 are not prime (return `False`).
- For odd numbers greater than 2, check for factors up to the square root of `n`.

**Recommended Approach:**
1. Check if `n <= 1`, return `False`.
2. Check if `n == 2`, return `True`.
3. Check if `n % 2 == 0`, return `False`.
4. Loop `i` from `3` up to `int(n**0.5)` with a step of `2`. If `n % i == 0`, return `False`.
5. If no factors are found, return `True`.",none,1,measured,hand_easy,0.56357574,0.0588235294117647,10.5,16.0,0.1666666666666666,0.0071428571428571,0.216867469879518,1,0.0068027210884353,0.5,1.0,,0.988730251789093,0.0293373744934797,0.8098906013783844,1,False
task_003,Write a function that returns the second-largest unique number in a list of integers. Return None if there isn't one.,"HANDOFF MESSAGE FOR AGENT B:

You need to write a Python function that finds and returns the second-largest unique number from a list of integers. If no such number exists, return `None`.

**Function Signature:**
```python
def second_largest_unique(numbers: list[int]) -> int | None:
```

**Key Edge Cases to Handle:**
1. Lists with fewer than 2 unique numbers (e.g., `[]`, `[5]`, `[3, 3, 3]`) should return `None`.
2. Lists containing negative numbers, mixed signs, and duplicates (e.g., `[-1, -2, -2, -5]`).
3. The largest number appearing multiple times (e.g., `[10, 10, 5]` should return `5`).

**Brief Plan / Approach:**
1. Convert the input list to a `set` to remove duplicates and efficiently get unique values.
2. If the size of the set is less than 2, immediately return `None`.
3. Convert the set back to a list (or sort it), sort the unique values in descending order, and return the element at index 1.",none,1,measured,hand_easy,0.68846476,0.1538461538461538,7.6,7.0,0.3333333333333333,0.0201342281879194,0.3448275862068966,2,0.0,0.5,1.0,,0.9905739426612854,0.07369976490736,0.8625025779348932,1,False
task_010,"Write a function that returns True if a binary tree (given as nested tuples (value, left, right) or None) is height-balanced.","**HANDOFF MESSAGE FOR AGENT B**

**Objective:**
Write a Python function to determine if a binary tree is height-balanced. A binary tree is height-balanced if the left and right subtrees of every node differ in height by no more than 1, and both subtrees are also height-balanced.

**Input representation:**
- Binary trees are represented either as `None` (representing an empty tree) or as nested tuples in the format `(value, left, right)`.

**Function Signature:**
```python
def is_balanced(root) -> bool:
```

**Key Edge Cases to Handle:**
1. `None` (empty tree): Should return `True` (an empty tree is balanced).
2. A single node with no children `(val, None, None)`: Should return `True`.
3. Unbalanced trees at various depths (e.g., left-heavy or right-heavy trees where the height difference exceeds 1).

**Plan / Approach:**
1. Write a helper function (or structure the main function) that computes the height of a subtree and simultaneously checks if it is balanced.
2. For any given node:
   - Recursively compute the height of the left subtree and check if it's balanced.
   - Recursively compute the height of the right subtree and check if it's balanced.
   - If either subtree is unbalanced, or if the absolute difference between their heights is greater than 1, return `False` (along with an invalid height, e.g., `-1`).
   - Otherwise, return `True` and the actual height of the current node: `1 + max(left_height, right_height)`.
3. The main `is_balanced` function will simply call this helper and return the boolean result.",none,1,measured,hand_easy,0.787222,0.074074074074074,11.571428571428571,18.0,0.5,0.0043290043290043,0.19,2,0.0,0.5,1.0,,0.9961217045783995,0.1190422773361206,0.8736675259414547,1,False
task_002,"Write a function that checks if a given string is a palindrome, ignoring case and spaces.","Handoff Message for Agent B:

1. **Function Purpose**: Write a Python function that checks whether a given string is a palindrome. The check must be case-insensitive and ignore all spaces.

2. **Function Signature**:
   ```python
   def is_palindrome(s: str) -> bool:
   ```

3. **Key Edge Cases to Handle**:
   * Empty strings (`""""`) and strings with only spaces (`""   ""`): Should return `True`.
   * Strings with mixed casing (e.g., `""RaceCar""`): Should return `True`.
   * Strings with punctuation or special characters (if any are passed): The prompt specifically mentions ignoring case and spaces, but consider how non-alphanumeric characters should be treated (standard approach is usually filtering for alphanumeric, but at minimum, strip spaces and lowercase). Let's stick strictly to ignoring spaces and case, or optionally stripping all non-alphanumeric characters to be safe. Let's do: remove all spaces, convert to lowercase, and check if it equals its reverse.
   * Single-character strings (e.g., `""a""`): Should return `True`.

4. **Plan / Approach**:
   * Clean the input string `s`: 
     * Convert the string to lowercase using `.lower()`.
     * Remove all spaces (e.g., using `.replace("" "", """")` or a generator expression).
   * Compare the cleaned string with its reverse (i.e., `cleaned == cleaned[::-1]`).
   * Return the boolean result.",none,1,measured,hand_easy,0.7439493,0.1,12.4375,16.0,0.3333333333333333,0.0103626943005181,0.2897196261682243,6,0.0,1.0,1.0,,0.9922512173652648,0.0131977219134569,0.8482286675284839,1,False
task_011,"Write a function that returns the number of vowels (a, e, i, o, u, case-insensitive) in a string.","**Handoff Message for Agent B**

Your task is to write a Python function that counts the total number of vowels in a given string.

**Function Signature:**
```python
def count_vowels(s: str) -> int:
```

**Requirements & Details:**
- Vowels to count: `a`, `e`, `i`, `o`, `u`.
- Case-insensitivity: Both uppercase and lowercase vowels must be counted (e.g., 'A', 'E', 'I', 'O', 'U' should count just like their lowercase counterparts).
- Return value: An integer representing the total count of vowels found in the string.

**Key Edge Cases to Handle:**
- Empty strings (`""""`) should return `0`.
- Strings with no vowels (e.g., `""rhythm""`) should return `0`.
- Strings with mixed casing and non-alphabetic characters (e.g., `""Hello, World! 123""`) should be handled correctly, only counting the vowels (`e`, `o`, `o`).

**Approach / Plan:**
1. Define a collection (e.g., a set or string) of valid vowels: `""aeiouAEIOU""`.
2. Iterate through each character in the input string `s`.
3. Check if the character is present in the vowel collection.
4. Keep a running count and return it. (A generator expression with `sum()` or a simple loop will work efficiently).",none,1,measured,hand_easy,0.7356112,0.0833333333333333,10.27777777777778,17.0,0.3333333333333333,0.0,0.3132530120481928,6,0.0,0.1666666666666666,1.0,,0.994754433631897,0.110722117125988,0.8248239402341625,1,False
task_005,Write a function that flattens a nested list of arbitrary depth into a single flat list.,"**HANDOFF MESSAGE FOR AGENT B**

**Objective:**
Write a Python function that flattens a nested list of arbitrary depth into a single, flat list containing all the non-list elements in their original order.

**Function Signature:**
```python
def flatten(nested_list: list) -> list:
    """"""Flattens a nested list of arbitrary depth.""""""
    pass
```

**Key Edge Cases to Handle:**
1. **Already flat lists:** Passing a list with no nesting should return an equivalent flat list.
2. **Deeply nested lists:** Lists nested multiple levels deep (e.g., `[1, [2, [3, [4]]]]`) must be fully flattened.
3. **Empty lists:** Empty lists (at the root level or nested, e.g., `[]`, `[[]], [1, [], 2]`) should be handled gracefully without leaving residual empty lists or causing errors.
4. **Mixed data types:** The lists may contain a mix of integers, strings, booleans, `None`, etc. Only `list` instances (or iterable collections, if applicable, though primarily lists) should be recursively flattened; other types should be preserved as elements.
5. **Non-list inputs (Optional robustness):** Consider what happens if the input is not a list (though per signature, assume a list is passed).

**Proposed Approach / Plan:**
- Use a recursive approach or an iterative approach with a stack.
- **Recursive approach (Recommended for simplicity):**
  - Initialize an empty result list.
  - Iterate through each item in the input list.
  - If the item is an instance of `list`, recursively call `flatten` on that item and extend the result list with the returned elements.
  - If the item is not a list, append it directly to the result list.
  - Return the result list.",none,1,measured,hand_easy,0.74585503,0.044776119402985,16.1875,18.0,0.5,0.0317460317460317,0.3673469387755102,5,0.0,0.6666666666666666,1.0,,0.976008415222168,0.0162311363965272,0.7384111590092094,0,True
task_009,Write a function that returns the longest common prefix among a list of strings. Return empty string if none.,"**HANDOFF MESSAGE FOR AGENT B**

**Objective:**
Write a Python function that finds and returns the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string (`""""`).

**Function Signature:**
```python
def longestCommonPrefix(strs: list[str]) -> str:
    pass
```

**Key Edge Cases to Handle:**
1. **Empty input list (`strs = []`):** Should return `""""`.
2. **List with a single string (`strs = [""flow""]`):** Should return the string itself (`""flow""`).
3. **List containing an empty string (`strs = ["""", ""b""]`):** Should return `""""`.
4. **No common prefix (`strs = [""dog"", ""racecar"", ""car""]`):** Should return `""""`.
5. **All strings are identical (`strs = [""test"", ""test"", ""test""]`):** Should return `""test""`.

**Recommended Approach (Horizontal or Vertical Scanning):**
- **Horizontal Scanning:** 
  1. Handle the edge case of an empty list by returning `""""`.
  2. Assume the first string in the list is the initial `prefix`.
  3. Iterate through the remaining strings in the list.
  4. For each string, use a `while` loop with `str.startswith(prefix)` to shorten the `prefix` from the end until it matches the start of the current string.
  5. If `prefix` ever becomes `""""`, terminate early and return `""""`.
  6. Return the final `prefix` after checking all strings.",none,1,measured,hand_easy,0.66248107,0.0357142857142857,10.578947368421051,12.0,0.5,0.0101010101010101,0.2857142857142857,5,0.0,0.5,1.0,,0.9993457198143004,0.0405461303889751,0.8838752474479956,1,False
task_007,Write a function that merges two sorted lists of integers into one sorted list.,"Handoff Message for Agent B:

1. Function Purpose:
Write a Python function that takes two sorted lists of integers and merges them into a single, combined sorted list of integers.

2. Function Signature:
`def merge_sorted_lists(list1: list[int], list2: list[int]) -> list[int]:`

3. Key Edge Cases to Handle:
- One or both input lists are empty.
- Lists containing negative numbers.
- Lists of unequal lengths.
- Lists with duplicate values.

4. Brief Plan / Approach:
- Use a two-pointer approach (one pointer for each list) to compare elements from the start of both lists.
- Append the smaller element to a result list and advance the corresponding pointer.
- Once one of the lists is fully traversed, append any remaining elements from the other list to the result list.
- Alternatively, you can use Python's built-in sorting or `heapq.merge`, but a manual two-pointer approach runs in $O(n + m)$ time and is optimal. Ensure you return a new list without modifying the inputs in-place.",none,1,measured,hand_easy,0.72145796,0.08,11.642857142857142,14.0,0.3333333333333333,0.0125,0.3538461538461538,0,0.0,0.0,1.0,,0.9852477312088012,0.0237650666385889,0.7674050612786205,0,True
task_019,Write a function that returns the running/cumulative sum of a list of numbers as a new list.,"HANDOFF MESSAGE FOR AGENT B:

Your task is to implement a function that calculates the running (cumulative) sum of a list of numbers and returns it as a new list.

1. Function Signature:
`def running_sum(numbers: list[int | float]) -> list[int | float]:`

2. Requirements & Edge Cases:
- Return a *new* list; do not modify the input list in place.
- Empty list `[]` should return `[]`.
- Single-element list `[x]` should return `[x]`.
- Handle negative numbers and floating-point values correctly.

3. Plan / Approach:
- Initialize a running total variable at 0 (or start with the first element).
- Iterate through the input list, adding each element to the running total and appending the result to a new output list.
- Alternatively, use `itertools.accumulate` or a simple loop to build the new list efficiently in $O(N)$ time.",none,1,measured,hand_easy,0.7114119,0.131578947368421,8.176470588235293,11.0,0.5,0.0294117647058823,0.3725490196078431,3,0.0,0.0,1.0,,0.9919528365135192,0.0362694822251796,0.7444424150580679,0,True
task_021,"Write a function that returns True if a list of integers is sorted in non-decreasing order, False otherwise.","Handoff Message for Agent B:

Your task is to write a Python function that checks whether a given list of integers is sorted in non-decreasing order (i.e., each element is greater than or equal to the preceding one).

Function Signature:
`def is_sorted(nums: list[int]) -> bool:`

Key Edge Cases to Handle:
- An empty list (`[]`) should return `True`.
- A list with a single element (`[x]`) should return `True`.
- Lists with duplicate adjacent elements (e.g., `[1, 2, 2, 3]`) are non-decreasing and should return `True`.
- A list with negative numbers or mixed positive/negative integers.

Approach:
Iterate through the list from the first element to the second-to-last element using an index loop or `zip()`. Compare each element to its immediate successor. If any element is strictly greater than the next element, immediately return `False`. If the loop finishes without finding any violations, return `True`. This can be efficiently implemented in $O(n)$ time complexity and $O(1)$ space complexity.",none,1,measured,hand_easy,0.72082704,0.0681818181818181,8.777777777777779,10.0,0.1666666666666666,0.0266666666666666,0.3076923076923077,4,0.0,0.0,1.0,,0.8214494585990906,0.0528934486210346,0.8814909564738488,1,False
